room_id, floor_id, room_type, total_area, total_volume, length, width, height,ply_path,n_points
1,0,some room,0,0,0,0,0,output_house\floor_0\room_001\shell_001.ply,4166919
2,0,some room,0,0,0,0,0,output_house\floor_0\room_002\shell_002.ply,833527
3,0,some room,0,0,0,0,0,output_house\floor_0\room_003\shell_003.ply,3203173
4,0,some room,0,0,0,0,0,output_house\floor_0\room_004\shell_004.ply,2866833
5,0,some room,0,0,0,0,0,output_house\floor_0\room_005\shell_005.ply,3536854
