group_name,class,face_count,area,centroid_x,centroid_y,centroid_z,normal_x,normal_y,normal_z,lowest_x,lowest_y,lowest_z,highest_x,highest_y,highest_z,obj_path
wall_plane_0001,wall,4,5.91806825,12.4241511,10.8277721,1.30795522,0.0621698717,0.997679106,-0.0277724287,11.2650738,10.9412584,2.79013133,13.4801149,10.7805519,1.9754591,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_0\room_001\out_planes\wall_plane_0001.obj
wall_plane_0002,wall,4,5.67363574,12.6015762,12.4158108,1.30453981,0.174549599,0.984645429,-0.00241182561,11.5138578,12.6122694,2.78966022,13.6297684,12.2351503,1.96120942,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_0\room_001\out_planes\wall_plane_0002.obj
wall_plane_0003,wall,2,4.57633181,11.3666694,11.7604432,1.45470163,0.988984769,-0.147246562,-0.0150856466,11.2650738,10.9412584,2.79013133,11.5086803,12.6123543,2.44938803,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_0\room_001\out_planes\wall_plane_0003.obj
ceiling_plane_0004,ceiling,2,3.92243189,12.5073689,11.5964047,0.0945819086,0.0382676845,0.00790960497,0.99923622,13.7857103,12.2028017,0.0408253074,13.6366844,12.2292337,0.0463233404,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_0\room_001\out_planes\ceiling_plane_0004.obj
ceiling_plane_0005,ceiling,2,3.7791864,12.5270588,11.6312376,2.5253315,0.222410404,-0.0328382756,0.974399949,13.4797926,10.7890348,2.27948332,13.6846409,10.7749548,2.23225164,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_0\room_001\out_planes\ceiling_plane_0005.obj
wall_plane_0006,wall,2,3.21941067,13.7344604,11.4777852,1.14056914,0.99803644,-0.0624054364,0.00536891555,13.6846409,10.7749548,2.23225164,13.7759581,12.2091522,1.92756331,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_0\room_001\out_planes\wall_plane_0006.obj
