object_code,object_id,room_id,floor_id,class,file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
0-1-0,0,1,0,plant,plant_001.ply,0,4.474904,10.794493,1.183400,0.243254,0.202589,0.205398,-0.709424
0-1-1,1,1,0,plant,plant_001.ply,1,0.698640,9.889793,0.660513,0.115407,0.092783,0.181083,-0.469832
0-1-2,2,1,0,plant,plant_001.ply,2,0.938486,12.894303,0.699056,0.539378,0.086898,0.548262,3.140866
0-1-3,3,1,0,plant,plant_001.ply,3,0.229366,12.661983,0.574912,0.242912,0.144615,0.162251,-0.015406
0-1-4,4,1,0,plant,plant_001.ply,4,0.055491,12.656508,0.730118,0.163289,0.081730,0.189288,-1.570707
0-1-5,5,1,0,shell,shell_001.ply,0,2.397209,-9.832829,1.293415,7.028531,6.666650,2.769957,3.093263
0-1-6,6,1,0,table,table_001.ply,0,2.766160,10.400540,0.420440,2.449548,1.010541,0.780879,1.525516
0-1-7,7,1,0,table,table_001.ply,1,1.293843,11.489285,0.868064,1.269811,0.375793,0.061126,1.531431
0-1-8,8,1,0,table,table_001.ply,2,-3.265785,10.657038,0.530354,1.042205,0.651636,0.879555,1.512533
0-1-9,9,1,0,chair,chair_001.ply,0,2.766251,-9.893797,0.486132,0.566154,0.463179,0.869131,-0.021753
0-1-10,10,1,0,chair,chair_001.ply,1,3.249940,10.304770,0.482424,0.524934,0.459886,0.858654,3.103397
0-1-11,11,1,0,chair,chair_001.ply,2,2.262671,10.823689,0.471671,1.020185,0.703391,0.893018,1.434986
0-1-12,12,1,0,chair,chair_001.ply,3,3.311940,10.983732,0.487838,0.560881,0.463773,0.863247,-0.011456
0-1-13,13,1,0,curtain,curtain_001.ply,0,0.948236,11.779836,1.425787,0.833844,0.291574,1.950200,1.498800
0-1-14,14,1,0,curtain,curtain_001.ply,1,0.788332,9.305674,1.491410,0.839353,0.276906,2.008575,1.443508
0-1-15,15,1,0,window,window_001.ply,0,0.853853,10.332418,1.502228,3.829198,1.069807,2.225193,-1.669968
0-1-16,16,1,0,window,window_001.ply,1,1.388152,12.633284,1.464560,1.328380,0.524271,1.309508,3.050824
0-1-17,17,1,0,door,door_001.ply,0,6.362241,9.604749,1.280271,2.803347,0.904361,2.382489,1.570797
0-1-18,18,1,0,door,door_001.ply,1,6.544699,6.723062,1.365026,0.541198,0.094447,1.409916,-1.471516
0-1-19,19,1,0,door,door_001.ply,2,6.759018,12.460189,1.182314,0.468920,0.224298,2.005117,-1.001277
