object_code,object_id,room_id,floor_id,class,file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
1-3-0,0,3,1,shell,shell_003.ply,0,4.775714,5.520270,4.738296,4.000008,2.749977,4.219802,1.570782
1-3-1,1,3,1,door,door_003.ply,0,4.278678,7.421619,4.026518,0.770617,0.255165,1.992387,-0.102030
1-3-2,2,3,1,door,door_003.ply,1,3.622068,4.038139,3.839983,0.442010,0.266496,1.920458,-0.009123
1-3-3,3,3,1,window,window_003.ply,0,5.762607,5.925021,4.151284,0.149728,0.006494,0.033908,-1.611517
1-3-4,4,3,1,window,window_003.ply,1,5.389340,5.920853,4.458563,0.054467,0.013614,0.038127,-2.747976
