object_code,object_id,room_id,floor_id,class,file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
0-6-0,0,6,0,shell,shell_004.ply,0,5.430992,3.555084,1.293414,7.410937,2.315711,2.769959,-1.606456
0-6-1,1,6,0,table,table_004.ply,0,6.366275,2.757647,0.355815,1.126829,0.296670,0.775529,1.570225
0-6-2,2,6,0,table,table_004.ply,1,4.355096,0.930028,0.406896,0.658944,0.283131,0.015956,-1.576337
0-6-3,3,6,0,door,door_004.ply,0,4.651735,4.061613,1.102542,1.166480,0.629623,2.194893,1.494431
0-6-4,4,6,0,door,door_004.ply,1,6.471287,5.130361,1.209305,1.557486,0.285343,2.272026,1.569335
0-6-5,5,6,0,door,door_004.ply,2,5.045294,-0.014952,0.978033,1.351750,0.973723,2.139143,2.551786
0-6-6,6,6,0,window,window_004.ply,0,5.250730,0.016220,1.919376,1.079572,0.235646,1.258427,3.073430
0-6-7,7,6,0,window,window_004.ply,1,4.370908,0.308546,2.189685,0.327382,0.085845,0.839723,-0.167962
0-6-8,8,6,0,window,window_004.ply,2,6.491081,6.660000,2.402095,0.654441,0.098716,0.144717,1.571426
0-6-9,9,6,0,window,window_004.ply,3,4.416725,-0.086466,1.539693,0.404916,0.060004,1.811024,3.106858
0-6-10,10,6,0,couch,couch_004.ply,0,4.427925,2.105472,0.555583,1.276415,0.385475,0.562373,1.509751
0-6-11,11,6,0,curtain,curtain_004.ply,0,4.388701,0.328362,1.457508,0.361989,0.183645,2.016131,3.031680
