group_name,class,face_count,area,centroid_x,centroid_y,centroid_z,normal_x,normal_y,normal_z,lowest_x,lowest_y,lowest_z,highest_x,highest_y,highest_z,obj_path
floor_plane_0001,floor,26,16.1255216,2.02222743,3.02145155,2.67075179,0.0132852537,0.0177310067,-0.999754527,2.00817609,0.499623179,2.62583971,0.558012545,5.72037506,2.69916081,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_0\room_004\out_planes\floor_plane_0001.obj
wall_plane_0002,wall,11,13.3821322,0.395092142,3.27127274,1.30868044,0.997794695,-0.0663757989,8.08996611e-09,0.278699577,1.52160084,0.179524511,0.562867641,5.7933588,-0.0118215485,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_0\room_004\out_planes\wall_plane_0002.obj
floor_plane_0003,floor,24,13.1112118,1.65014592,3.02203043,-0.00590209726,0.0115033034,0.00237728922,-0.999931009,2.14474416,0.260187328,-0.00677834265,3.40197897,1.3265729,0.0102202874,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_0\room_004\out_planes\floor_plane_0003.obj
wall_plane_0004,wall,2,8.08145092,2.84410811,4.01948707,1.14121023,0.979278902,-0.202363211,0.00787160981,2.34202433,1.55831921,0.3319875,2.77150798,3.71549416,2.35809684,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_0\room_004\out_planes\wall_plane_0004.obj
wall_plane_0005,wall,7,7.20907954,3.42611307,1.51668523,1.58085237,0.881824719,-0.469586174,0.0432896098,3.46408677,1.44329548,0.0112122865,4.5145793,3.63464665,2.38310385,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_0\room_004\out_planes\wall_plane_0005.obj
wall_plane_0006,wall,6,7.08738868,1.86427679,5.67580066,1.35627204,0.0617730153,0.997725746,0.0269709213,1.02519071,5.71281672,1.90874827,1.01822841,5.76502609,-0.00665039429,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_0\room_004\out_planes\wall_plane_0006.obj
wall_plane_0007,wall,8,6.76547445,1.47797075,0.471636793,1.29662638,0.226109465,0.973186964,-0.0422095028,2.14474416,0.260187328,-0.00677834265,2.75879741,0.11781045,-5.27113225e-05,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_0\room_004\out_planes\wall_plane_0007.obj
ceiling_plane_0008,ceiling,2,5.18061054,3.37204532,2.88200575,1.61923075,0.0420268642,0.679553448,-0.732421227,4.5145793,3.63464665,2.38310385,3.47980928,1.50374186,0.346636534,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_0\room_004\out_planes\ceiling_plane_0008.obj
ceiling_plane_0009,ceiling,1,0.386219519,2.90501746,1.50081617,0.172188931,0.0494399303,0.982536933,-0.179379121,3.46408677,1.44329548,0.0112122865,3.47980928,1.50374186,0.346636534,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_0\room_004\out_planes\ceiling_plane_0009.obj
