group_name,class,face_count,area,centroid_x,centroid_y,centroid_z,normal_x,normal_y,normal_z,lowest_x,lowest_y,lowest_z,highest_x,highest_y,highest_z,obj_path
wall_plane_0001,wall,8,15.2648434,6.05792887,2.7320086,1.34077216,0.999680576,-0.0239199641,-0.00815967722,5.98004055,-0.0545824431,-0.0328209512,5.99912834,-0.142259076,2.56269026,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_0\room_003\out_planes\wall_plane_0001.obj
wall_plane_0002,wall,9,15.1119509,4.78080172,2.82280578,1.3476208,0.998054157,-0.0582320555,0.0222918552,4.86680698,4.85057163,2.79401493,4.61628485,-0.0123302499,1.30729902,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_0\room_003\out_planes\wall_plane_0002.obj
ceiling_plane_0003,ceiling,7,7.04351819,5.42660082,2.70494271,-0.000661238554,0.0070411585,-0.0102410268,0.999922769,4.64665318,-0.00104164192,-0.0228832811,4.97512579,5.65000153,0.0326806717,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_0\room_003\out_planes\ceiling_plane_0003.obj
floor_plane_0004,floor,3,6.17239379,5.4108929,2.47460674,2.68393327,4.11170968e-08,0.0462817278,-0.998928427,5.86596584,-0.13076058,2.56322312,6.00069046,-0.0779798031,2.56566834,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_0\room_003\out_planes\floor_plane_0004.obj
wall_plane_0005,wall,3,3.57111267,5.30308654,-0.0714402291,1.28118907,0.0860592932,0.996255337,0.00831274069,5.99316072,-0.135477617,1.81173301,4.61628485,-0.0123302499,1.30729902,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_0\room_003\out_planes\wall_plane_0005.obj
wall_plane_0006,wall,1,3.32110347,5.53286756,5.55392356,1.44359031,0.0540483311,0.997452352,0.0465573177,6.11553288,5.58861113,0.0240215119,4.97512579,5.65000153,0.0326806717,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_0\room_003\out_planes\wall_plane_0006.obj
ceiling_plane_0007,ceiling,2,1.21499022,5.37538272,3.4797256,2.73050178,8.13085102e-08,-0.0462815894,0.998928433,6.00069046,-0.0779798031,2.56566834,4.90536976,5.5234375,2.82518983,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_0\room_003\out_planes\ceiling_plane_0007.obj
