group_name,class,face_count,area,centroid_x,centroid_y,centroid_z,normal_x,normal_y,normal_z,lowest_x,lowest_y,lowest_z,highest_x,highest_y,highest_z,obj_path
wall_plane_0001,wall,16,6.91083314,4.38944115,8.97796362,4.298771,0.0337486642,0.999426926,-0.00261683762,3.22202229,9.02297974,6.43563461,5.52178669,8.94013977,4.45641994,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_001\out_planes\wall_plane_0001.obj
ceiling_plane_0002,ceiling,34,6.89678775,4.66262891,8.08045206,5.32302707,0.733097787,-0.0488166839,0.678369049,5.22336149,7.75803709,4.69385433,4.27726507,8.60561848,5.77727318,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_001\out_planes\ceiling_plane_0002.obj
floor_plane_0003,floor,15,5.01006478,4.52139584,8.03899299,2.90671587,0.0150738599,0.00012177415,-0.999886376,3.22810411,8.04181862,2.88721919,6.06935215,8.91765308,2.93015909,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_001\out_planes\floor_plane_0003.obj
wall_plane_0004,wall,12,4.64140484,3.20183348,8.12944796,4.16979791,0.995610252,-0.0897587442,0.0265253452,3.06944489,6.89781094,4.97118521,3.21721721,8.36934853,4.404181,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_001\out_planes\wall_plane_0004.obj
wall_plane_0005,wall,12,4.1849338,4.78266796,7.34923743,4.0329622,0.0384179282,0.999164041,0.0139743425,5.45995665,7.33503437,3.18647242,4.60821962,7.37167978,2.90794349,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_001\out_planes\wall_plane_0005.obj
ceiling_plane_0006,ceiling,23,3.7421751,2.66894299,7.67005101,5.89268548,0.747397887,-0.0393824876,-0.663208427,3.11729455,7.84709215,6.38743925,3.16485095,8.38105679,6.40932417,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_001\out_planes\ceiling_plane_0006.obj
wall_plane_0007,wall,7,2.81789291,3.9204501,6.88041164,4.27673089,0.998943302,-0.0446694446,0.0108129615,3.92926407,7.36219358,5.45274448,3.95846367,7.39679956,2.89815116,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_001\out_planes\wall_plane_0007.obj
wall_plane_0008,wall,12,2.55116529,3.04496603,6.86571979,5.45211852,0.0235998328,-0.997582352,-0.0653643544,3.51776695,6.81028605,6.46884966,3.09046483,6.94053125,4.32677889,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_001\out_planes\wall_plane_0008.obj
ceiling_plane_0009,ceiling,16,2.1120096,2.50732676,7.64058842,4.68578367,0.443788047,-0.0876812408,0.891831918,2.58456397,8.37931347,4.71997738,1.86151099,7.46490335,4.98987818,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_001\out_planes\ceiling_plane_0009.obj
wall_plane_0010,wall,3,2.10806893,3.49444237,6.54859229,3.97839736,0.547959879,0.825198278,0.137068496,3.8837049,6.16654015,4.7223196,3.89896488,6.2994051,3.86142516,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_001\out_planes\wall_plane_0010.obj
wall_plane_0011,wall,7,1.39477649,6.05503475,8.11921124,3.3630626,0.997359708,-0.0476134109,-0.0548322596,6.04449987,8.32481861,2.99290681,6.07517147,8.91773319,3.03593755,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_001\out_planes\wall_plane_0011.obj
wall_plane_0012,wall,3,1.25526347,2.77664484,8.37991352,5.28346593,0.0130037801,0.99990033,-0.00549839263,3.2098105,8.3710041,4.68778181,3.16514826,8.38099003,6.39793825,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_001\out_planes\wall_plane_0012.obj
ceiling_plane_0013,ceiling,2,0.449237375,3.55565239,6.62506869,4.99600498,0.0529843927,0.183773847,0.981539519,3.87745929,6.11216164,5.07466507,3.04801941,6.67294121,5.01444435,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_001\out_planes\ceiling_plane_0013.obj
wall_plane_0014,wall,2,0.000624133199,2.9547842,8.38043073,5.79875338,0.0130185908,0.999899993,-0.00552454106,3.16485095,8.38105679,6.40932417,2.6219883,8.37881565,4.71805048,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_001\out_planes\wall_plane_0014.obj
