group_name,class,face_count,area,centroid_x,centroid_y,centroid_z,normal_x,normal_y,normal_z,lowest_x,lowest_y,lowest_z,highest_x,highest_y,highest_z,obj_path
wall_plane_0001,wall,35,10.2305071,3.87592631,5.52482396,4.37555863,0.998006371,-0.0630870164,-0.0018199029,3.84945846,5.08966303,4.94595432,3.94835043,6.66458035,4.58206367,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_002\out_planes\wall_plane_0001.obj
ceiling_plane_0002,ceiling,43,10.0452717,5.00457216,5.45941396,4.76744169,0.744711976,-0.0467278623,0.665748135,5.58233643,3.85397387,4.00846529,4.83457756,5.06715631,4.93006754,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_002\out_planes\ceiling_plane_0002.obj
floor_plane_0003,floor,16,6.95788298,4.9538298,5.46350433,2.80563562,0.0119942879,0.0432679685,-0.998991501,5.2529726,6.17258072,2.83993864,3.77145839,3.91981745,2.72457981,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_002\out_planes\floor_plane_0003.obj
wall_plane_0004,wall,10,4.54109605,4.65205341,3.89913057,3.89153994,0.0510875178,0.998476491,-0.020850949,3.77784824,3.96207619,4.76386786,3.77145839,3.91981745,2.72457981,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_002\out_planes\wall_plane_0004.obj
wall_plane_0005,wall,10,3.63099237,4.91190264,7.19353113,3.77324178,0.0224452772,0.992251576,-0.122200731,3.98953366,7.31568718,4.59571552,5.38070154,7.0994873,3.0957253,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_002\out_planes\wall_plane_0005.obj
wall_plane_0006,wall,7,2.62825465,6.03077657,5.43800771,3.21835818,0.99912449,-0.0417005849,-0.00336359078,6.07709885,6.57618618,2.8673141,6.08976507,6.87858391,2.8805635,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_002\out_planes\wall_plane_0006.obj
ceiling_plane_0007,ceiling,3,0.640101572,4.28203557,6.84717534,5.26914052,0.363146869,0.886591516,0.286495786,3.95543742,6.73490906,6.03053856,3.97655487,7.10257292,4.86599827,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_002\out_planes\ceiling_plane_0007.obj
floor_plane_0008,floor,3,0.423694059,4.53248552,7.10508979,4.90311479,0.146538455,0.0086399207,-0.989167242,4.03809404,7.34368324,4.83195829,4.69653797,7.34079885,4.92947674,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_002\out_planes\floor_plane_0008.obj
