object_code,object_id,room_id,floor_id,class,file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
1-2-0,0,2,1,shell,shell_002.ply,0,2.275730,10.020284,4.811844,3.999992,2.749995,4.366894,-1.570796
1-2-1,1,2,1,chair,chair_002.ply,0,1.710738,8.854347,3.455485,0.831530,0.435354,0.370767,-0.306448
1-2-2,2,2,1,door,door_002.ply,0,3.014824,8.552979,3.992327,0.784644,0.641269,2.036366,-2.627786
1-2-3,3,2,1,door,door_002.ply,1,2.884730,11.542347,4.214269,0.789390,0.077091,1.048212,3.088947
1-2-4,4,2,1,window,window_002.ply,0,1.207252,10.311750,4.257887,0.427979,0.314125,0.347593,-1.604489
1-2-5,5,2,1,window,window_002.ply,1,1.451794,10.238338,4.509546,0.485294,0.206396,0.220079,-1.718170
