object_code,object_id,room_id,floor_id,class,file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
1-5-0,0,5,1,shell,shell_005.ply,0,2.400719,-1.770295,4.749236,3.499993,3.000002,4.241682,3.141590
1-5-1,1,5,1,door,door_005.ply,0,3.185113,3.241053,3.773344,0.092652,0.058399,2.024253,3.140972
1-5-2,2,5,1,door,door_005.ply,1,2.926654,3.091523,3.752987,0.362737,0.130381,1.678889,1.529607
1-5-3,3,5,1,door,door_005.ply,2,1.823131,1.917229,3.032810,0.773833,0.051453,0.647838,-1.560342
1-5-4,4,5,1,door,door_005.ply,3,1.772558,1.265712,3.404993,0.157077,0.103726,1.290253,-2.410576
1-5-5,5,5,1,door,door_005.ply,4,1.809676,2.134355,4.012809,0.367324,0.064267,1.056300,-1.458584
1-5-6,6,5,1,window,window_005.ply,0,1.732817,0.416064,3.989523,0.664174,0.291555,1.037238,0.000000
