group_name,class,face_count,area,centroid_x,centroid_y,centroid_z,normal_x,normal_y,normal_z,lowest_x,lowest_y,lowest_z,highest_x,highest_y,highest_z,obj_path
ceiling_plane_0001,ceiling,25,30.1387835,3.48088482,9.68368052,2.73433513,0.00822098994,-0.0284486011,0.99956145,5.00624657,6.86174726,2.64147425,6.33464622,11.332262,2.75778461,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_0\room_002\out_planes\ceiling_plane_0001.obj
floor_plane_0002,floor,20,29.2496692,3.44877893,9.70378638,0.0344810696,0.0136092388,0.00363030472,-0.9999008,6.30833817,11.1427641,0.0786258057,5.22570896,11.2022438,0.064106524,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_0\room_002\out_planes\floor_plane_0002.obj
wall_plane_0003,wall,21,15.7697455,3.48649252,12.3218291,1.42570539,0.0478012682,0.998508121,-0.0263926326,5.16585684,12.2663946,2.37007785,1.48338819,12.4366322,2.14106989,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_0\room_002\out_planes\wall_plane_0003.obj
wall_plane_0004,wall,18,14.6547032,3.36687277,7.04671104,1.33987686,0.0790812698,0.995985902,0.0419313212,4.38202858,7.0209403,0.037442632,0.596017182,7.32367325,-0.0129880905,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_0\room_002\out_planes\wall_plane_0004.obj
wall_plane_0005,wall,23,14.3644004,0.639638003,9.88097794,1.38817545,0.999816074,-0.00734799243,-0.0177150929,0.628554702,10.9028683,0.338783532,0.663334012,11.5962534,2.01407075,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_0\room_002\out_planes\wall_plane_0005.obj
wall_plane_0006,wall,22,14.1303022,6.25911134,9.52643991,1.3967267,0.999313197,-0.0363412152,-0.0072422691,6.36325932,12.2075815,2.31366658,6.15316582,6.87931919,0.061034672,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_0\room_002\out_planes\wall_plane_0006.obj
wall_plane_0007,wall,1,0.00885598219,0.942020436,12.4618505,2.11466082,0.0477994604,0.99850885,-0.0263683194,0.671141386,12.4741812,2.09055734,0.671531737,12.4747381,2.11235523,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_0\room_002\out_planes\wall_plane_0007.obj
