object_code,object_id,room_id,floor_id,class,file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
0-2-0,0,2,0,plant,plant_002.ply,0,13.173777,11.128069,0.263031,0.268584,0.204234,0.334749,1.749255
0-2-1,1,2,0,plant,plant_002.ply,1,13.651181,12.177090,0.222831,0.126423,0.105568,0.272904,0.334032
0-2-2,2,2,0,plant,plant_002.ply,2,12.104359,12.244264,0.419129,0.276865,0.233001,0.601437,-0.400992
0-2-3,3,2,0,shell,shell_002.ply,0,11.397783,-12.345942,1.349130,3.056839,2.375863,2.658528,3.103097
0-2-4,4,2,0,chair,chair_002.ply,0,11.042665,11.747545,0.641592,0.693498,0.450663,0.563256,-1.588734
0-2-5,5,2,0,curtain,curtain_002.ply,0,11.189396,11.538947,0.315298,0.067390,0.025506,0.088339,-2.402823
0-2-6,6,2,0,curtain,curtain_002.ply,1,11.128779,11.380480,0.314508,0.077661,0.004622,0.031064,-1.514975
0-2-7,7,2,0,door,door_002.ply,0,11.523142,11.261320,1.268192,2.475370,1.447224,2.293079,2.108762
0-2-8,8,2,0,window,window_002.ply,0,11.614359,10.764885,0.796647,0.754633,0.255662,0.678422,-0.080666
0-2-9,9,2,0,window,window_002.ply,1,11.344090,11.625393,2.086153,0.305156,0.131695,0.451876,-1.637148
0-2-10,10,2,0,window,window_002.ply,2,13.535563,12.424922,1.959220,0.709966,0.313568,1.267200,-0.108327
0-2-11,11,2,0,window,window_002.ply,3,11.476648,12.536986,1.022440,0.165348,0.127976,0.656479,0.769853
