object_code,object_id,room_id,floor_id,class,file,cluster_id,center_x,center_y,center_z,size_x,size_y,size_z,yaw_rad
1-4-0,0,4,1,shell,shell_004.ply,0,2.025719,4.895279,4.763733,4.749991,2.749995,4.270676,1.570792
1-4-1,1,4,1,table,table_004.ply,0,1.418661,6.298162,2.759160,0.435970,0.190509,0.014746,-0.751965
1-4-2,2,4,1,table,table_004.ply,1,1.470116,6.269979,2.852263,0.297315,0.295304,0.012474,1.577773
1-4-3,3,4,1,door,door_004.ply,0,3.032063,3.792510,3.778341,0.546185,0.224973,2.024525,-1.562847
1-4-4,4,4,1,door,door_004.ply,1,2.600798,5.627378,3.870012,0.865708,0.146977,1.920554,-2.930143
1-4-5,5,4,1,door,door_004.ply,2,2.920505,4.909260,3.782262,0.143835,0.102677,1.855752,-0.045784
1-4-6,6,4,1,window,window_004.ply,0,2.881334,5.282414,4.785820,0.846848,0.210669,0.270497,1.523129
