group_name,class,face_count,area,centroid_x,centroid_y,centroid_z,normal_x,normal_y,normal_z,lowest_x,lowest_y,lowest_z,highest_x,highest_y,highest_z,obj_path
wall_plane_0001,wall,39,10.9555567,3.21118403,9.91216084,4.59959739,0.998529472,-0.0541341307,-0.00289634888,3.25687361,10.8101492,3.56750703,3.18665075,9.38031387,6.08206177,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_004\out_planes\wall_plane_0001.obj
ceiling_plane_0002,ceiling,36,9.50387938,2.17216841,9.93527906,5.23470289,0.750094229,-0.0251500835,-0.660852571,2.09954309,10.3640347,5.13595343,1.90348256,8.96851254,4.96652555,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_004\out_planes\ceiling_plane_0002.obj
ceiling_plane_0003,ceiling,12,6.00986101,2.24542381,9.94943008,2.83753776,0.00843489414,0.0194083134,0.99977606,3.28151035,11.3055153,2.80247116,1.6138103,9.68095398,2.84807849,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_004\out_planes\ceiling_plane_0003.obj
wall_plane_0004,wall,9,4.7727519,2.50281856,11.5149932,4.19971994,0.0751297339,0.994736081,0.0696825124,1.72243822,11.5414715,4.66311407,3.29342341,11.4350424,4.4886384,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_004\out_planes\wall_plane_0004.obj
wall_plane_0005,wall,18,4.55425231,2.33302027,8.40472617,4.18966856,0.032915261,0.999458106,0.000281692442,1.52369475,8.4317503,2.87308908,3.12398267,8.3789587,3.1928308,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_004\out_planes\wall_plane_0005.obj
ceiling_plane_0006,ceiling,16,3.41267781,1.37323009,10.1669008,3.55243667,0.931233447,-0.0599809444,0.35945313,1.24713409,11.6153593,4.12081289,1.11501908,9.21336842,4.06226969,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_004\out_planes\ceiling_plane_0006.obj
ceiling_plane_0007,ceiling,3,0.638765946,1.2560227,10.044569,3.0844684,0.641534353,-0.549730713,-0.535004502,0.960500956,9.92907715,2.84877348,0.880510032,9.83326054,2.85130835,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_004\out_planes\ceiling_plane_0007.obj
ceiling_plane_0008,ceiling,2,0.567551671,1.20293951,9.30871582,3.09920121,0.671004674,0.495111898,-0.551921132,0.739920318,9.66485691,2.85576367,1.5359447,8.60156155,2.86968923,C:\Users\seghe\Desktop\LLM\SpatialLLM\data\output\floor_1\room_004\out_planes\ceiling_plane_0008.obj
